Comment doit être déterminé l'ordre sur les listes APPEL CITOYEN ?;Choisissez les candidates (femmes) pour qui vous voulez voter;Choisissez les candidats (hommes) pour qui vous voulez voter;confirmation
Voix recues lors de la primaire;Valentina Darbellay, Marie-Luce Duroux Barman, Léna Vaudan;Baptiste Fellay, Jean-François Lovey, Daniel Moulin;4305bb53-fffa-4d8d-9f46-f1cbbde5010e
Je Mabstiens de repondre a cette question;Marie-Luce Duroux Barman, Jasmine Lovey;Baptiste Fellay;cc0dbd4d-a415-40ff-94a6-bd59c5c4d8cf
ordre alphabetique;Jasmine Lovey, Léna Vaudan;Baptiste Fellay, Jean-François Lovey;10c2bfd2-2861-4b22-9016-1b8f32ce966d
ordre alphabetique;Valentina Darbellay, Jasmine Lovey, Léna Vaudan;Baptiste Fellay, Jean-François Lovey, Daniel Moulin;8fb4d9fd-2860-46e0-bc02-a25e3027e68d
ordre alphabetique;Jasmine Lovey;Jean-François Lovey;668ef2cf-9536-4b38-93dc-7a001a8af0ad
ordre alphabetique;;Daniel Moulin;72755927-17b8-4f34-af19-a78059082454
Voix recues lors de la primaire;Valentina Darbellay, Marie-Luce Duroux Barman, Jasmine Lovey;Baptiste Fellay, Jean-François Lovey, Daniel Moulin;87ae07f3-80e6-4624-b035-72ac818de7e0
Tirage au sort;Jasmine Lovey, Léna Vaudan;Baptiste Fellay, Jean-François Lovey;0b1eb6cb-4896-4da6-adce-7ef6949d092a
Voix recues lors de la primaire;Valentina Darbellay, Marie-Luce Duroux Barman, Léna Vaudan;Baptiste Fellay, Jean-François Lovey;d37cfc62-cf48-449a-82a3-9c15d5f7c627
ordre alphabetique;Marie-Luce Duroux Barman, Jasmine Lovey, Léna Vaudan;Jean-François Lovey, Daniel Moulin;e9ca9c0c-74c8-4790-a042-080045913a50
Voix recues lors de la primaire;Valentina Darbellay, Marie-Luce Duroux Barman, Léna Vaudan;Baptiste Fellay, Jean-François Lovey, Daniel Moulin;efe13062-4f67-4987-97b8-c51b7a244a75
Tirage au sort;Valentina Darbellay, Marie-Luce Duroux Barman, Léna Vaudan;Jean-François Lovey, Daniel Moulin;c5ed9a5c-d2bf-4eae-9a0c-a6cebd009195
Tirage au sort;Valentina Darbellay, Marie-Luce Duroux Barman, Jasmine Lovey;Baptiste Fellay, Jean-François Lovey, Daniel Moulin;9870337e-170b-42f5-9395-6e96e66f794f
ordre alphabetique;Valentina Darbellay, Jasmine Lovey, Léna Vaudan;Baptiste Fellay, Jean-François Lovey, Daniel Moulin;59e0c6d3-ac4b-4236-b0d6-4cf993cde219
Tirage au sort;Valentina Darbellay, Marie-Luce Duroux Barman, Léna Vaudan;Baptiste Fellay, Jean-François Lovey, Daniel Moulin;1e2189f9-895d-4a92-a306-6b93d851e662
Voix recues lors de la primaire;Valentina Darbellay, Marie-Luce Duroux Barman, Léna Vaudan;Jean-François Lovey, Daniel Moulin;627db26b-9c73-4a1f-bc9a-5b09392f8f9a
Voix recues lors de la primaire;Jasmine Lovey;Jean-François Lovey;01f84ecf-8a1a-430f-8d3b-700e10032ef7
ordre alphabetique;Valentina Darbellay, Jasmine Lovey, Léna Vaudan;Baptiste Fellay, Jean-François Lovey, Daniel Moulin;39873435-9d26-4f25-bc9c-4012e30a7362
ordre alphabetique;Léna Vaudan;Daniel Moulin;ab95cb76-9152-4cc1-bc65-364aa0a190b0
Tirage au sort;Valentina Darbellay, Marie-Luce Duroux Barman, Jasmine Lovey;Baptiste Fellay, Jean-François Lovey, Daniel Moulin;7a2f20d8-f88a-4564-a819-ac4aecae34a0
Voix recues lors de la primaire;Valentina Darbellay, Jasmine Lovey, Léna Vaudan;Baptiste Fellay;920cbadd-7270-4b23-be5c-2aab5c1fdb37
Tirage au sort;Valentina Darbellay, Marie-Luce Duroux Barman, Jasmine Lovey;Baptiste Fellay, Jean-François Lovey, Daniel Moulin;99ebe8e1-f716-4301-8c8e-59f8293e5af4
Tirage au sort;Valentina Darbellay, Marie-Luce Duroux Barman;Jean-François Lovey;17aa9d9b-9faa-4d46-a0fb-39fb78080c9a
Je Mabstiens de repondre a cette question;Léna Vaudan;Jean-François Lovey, Daniel Moulin;17da1240-71a4-4268-870f-5848378aab51
Je Mabstiens de repondre a cette question;Valentina Darbellay, Marie-Luce Duroux Barman, Léna Vaudan;Baptiste Fellay, Jean-François Lovey, Daniel Moulin;6015f5c5-b669-4bf2-b474-40db014cd762
Tirage au sort;Léna Vaudan;Daniel Moulin;fd8366e1-4598-4253-b3e5-6a187c816f71
Tirage au sort;Valentina Darbellay, Marie-Luce Duroux Barman, Jasmine Lovey;Baptiste Fellay, Jean-François Lovey, Daniel Moulin;5e962ea1-d9d0-4d9c-948c-166e8b6ecdfc
Je Mabstiens de repondre a cette question;Léna Vaudan;Jean-François Lovey;3b0fd95b-9da4-4460-9ec8-a724d1889afd
