District;Full name of candidate;F;H;18-30;31-65;65+;Commune;#votes;Committee 1
Monthey;Aferdita Bogiqi;1;;;1;;Monthey;111;1
Monthey;André Bonvin;;1;;;1;Monthey;47;1
Monthey;Catherine Breu;1;;;1;;Monthey;128;1
Monthey;Thierry Bueche;;1;;1;;Port-Valais;49;1
Monthey;Robert Burri;;1;;1;;Monthey;64;
Monthey;Didier Cachat;;1;;1;;Monthey;45;
Monthey;Stéphanie Dubosson;1;;;1;;Troistorrents;90;1
Monthey;Sophie Ducrey;1;;1;;;Vouvry;92;1
Monthey;Françoise Gay-Truffer;1;;;1;;Monthey;73;1
Monthey;Bertrand Girard;;1;1;;;Monthey;114;1
Monthey;Hélène Gonet;1;;1;;;Champéry;70;1
Monthey;Jérome Lehmann;;1;;1;;Monthey;45;
Monthey;Ekaterina Lenoir;1;;1;;;Troistorrents;29;
Monthey;Amel Mahfoudh;1;;;1;;Vouvry;45;1
Monthey;Caroline Mariétan;1;;1;;;Val d'Illiez;73;1
Monthey;Matthieu Monnard;;1;;1;;Collombey-Muraz;89;1
Monthey;Yasmina Mudry;1;;1;;;Monthey;57;
Monthey;Nicolas Muzzetto;;1;1;;;Vouvry;42;
Monthey;Bernard Oberholzer;;1;;;1;Monthey;70;1
Monthey;Claudine Oggier;1;;;1;;Troistorrents;56;
Monthey;Jo Piller;;1;;;1;Collombey-Muraz;75;1
Monthey;Yves Puippe;;1;;1;;Collombey-Muraz;15;
Monthey;Christel Rey-Mermet;1;;;1;;Troistorrents;121;1
Monthey;Joël Rey-Mermet;;1;;1;;Troistorrents;24;
Monthey;Jörg Rickenmann;;1;;;1;Monthey;27;1
Monthey;Natan Rippa;;1;1;;;Monthey;56;
Monthey;Johan Rochel;;1;;1;;Monthey;166;1
Monthey;Christian Vial;;1;;1;;Monthey;58;
