Comment doit être déterminé l'ordre sur les listes APPEL CITOYEN ?;Choisissez les candidates (femmes) pour qui vous voulez voter;Choisissez les candidats (hommes) pour qui vous voulez voter;confirmation
Voix recues lors de la primaire;Catherine Breu, Yasmina Mudry;André Bonvin, Bertrand Girard, Johan Rochel;be7af3aa-0b36-4e73-8383-150a8eae5497
Voix recues lors de la primaire;Aferdita Bogiqi, Catherine Breu, Christel Rey-Mermet;Matthieu Monnard, Nicolas Muzzetto, Jo Piller, Natan Rippa, Johan Rochel, Christian Vial;b53eb063-524d-44fe-8096-c2a10dc8e35d
ordre alphabetique;Aferdita Bogiqi;Robert Burri, Bernard Oberholzer, Jo Piller, Yves Puippe, Johan Rochel;e3184386-bff8-4568-ad8a-e97239ff8652
representativite inverse du Grand Conseil actuel;Stéphanie Dubosson, Françoise Gay-Truffer, Christel Rey-Mermet;Bertrand Girard, Matthieu Monnard, Johan Rochel;5840b1a5-3b7c-4ad6-a0d5-634318db4414
Tirage au sort;Sophie Ducrey;Thierry Bueche;d221b211-bc4a-4604-9f3b-47191d549af8
ordre alphabetique;Aferdita Bogiqi, Hélène Gonet;Robert Burri, Bertrand Girard, Johan Rochel;81093e59-d11d-4474-9a74-fe8a30bd6b96
Voix recues lors de la primaire;Aferdita Bogiqi, Françoise Gay-Truffer, Amel Mahfoudh, Christel Rey-Mermet;Matthieu Monnard, Jo Piller, Natan Rippa, Johan Rochel;b7beb1ea-5729-4ac9-b90a-86d6c183735e
Je Mabstiens de repondre a cette question;;Jörg Rickenmann;5c8933bb-f920-4e22-8746-b663f73ca8c7
Voix recues lors de la primaire;Yasmina Mudry;André Bonvin, Robert Burri, Bertrand Girard, Johan Rochel;668b0470-1064-4c91-9d8f-a7a637fac14b
Voix recues lors de la primaire;Hélène Gonet;André Bonvin, Natan Rippa, Johan Rochel;7d54a34a-e7cd-4d0e-95e3-4c4b2cfa2cdf
Voix recues lors de la primaire;Catherine Breu, Françoise Gay-Truffer, Christel Rey-Mermet;Robert Burri, Matthieu Monnard, Johan Rochel;28ebb304-f867-4e40-89fe-6aea53f2aa84
Je Mabstiens de repondre a cette question;Sophie Ducrey;Jörg Rickenmann;8c567411-1fd6-45cd-bdb9-fbcd27cdea10
Voix recues lors de la primaire;Aferdita Bogiqi, Catherine Breu, Hélène Gonet, Claudine Oggier, Christel Rey-Mermet;Thierry Bueche, Robert Burri, Bertrand Girard, Matthieu Monnard, Jo Piller, Jörg Rickenmann, Johan Rochel, Christian Vial;9d4717dc-84c7-475c-a610-ff1dd6d90801
ordre alphabetique;Yasmina Mudry;Robert Burri;a367d4cf-9bd5-44d4-9ffe-6a7c3e38a82c
