District;Full name of candidate;F;H;18-30;31-65;65+;Commune;#votes;Committee 1
Sierre;Delphine Bonvin;1;;;1;;Anniviers;81;1
Sierre;Coralie Caloz;1;;1;;;Miège;59;1
Sierre;Melissa Cavallo;1;;1;;;Veyras;63;1
Sierre;Marisa Celas;1;;1;;;Crans-Montana;48;1
Sierre;Blaise Crettol;;1;;1;;Crans-Montana;76;1
Sierre;Thierry Crettol;;1;;1;;Crans-Montana;38;1
Sierre;Jonathan Djehiche;;1;1;;;Crans-Montana;55;1
Sierre;Jean Iwanowski;;1;;1;;Sierre;79;1
Sierre;Adrian Kaeser;;1;1;;;Veyras;17;
Sierre;Alexandre Loretan;;1;1;;;Sierre;51;1
Sierre;Michel Minnig;;1;;;1;Chalais;49;1
Sierre;François Parvex;;1;;1;;Crans-Montana;57;1
Sierre;Céline Ramsauer;1;;;1;;Veyras;82;1
Sierre;Elisabete Rey;1;;;1;;St-Léonard;34;
Sierre;Michel Rey;;1;;1;;St-Léonard;37;
Sierre;Jean-Charles Rey;;1;;1;;Sierre;65;1
Sierre;Christiane Rielle;1;;;1;;Sierre;42;1
Sierre;Camille Steger-Pellerin;1;;1;;;Sierre;32;
Sierre;Jaky Vilettaz;;1;;;1;St-Léonard;31;1
Sierre;Jacqueline Wyder Besson;1;;;1;;Venthône;52;1
Sierre;Catherine Zufferey;1;;;1;;Sierre;84;1
