Comment doit être déterminé l'ordre sur les listes APPEL CITOYEN ?;Choisissez les candidates (femmes) pour qui vous voulez voter;Choisissez les candidats (hommes) pour qui vous voulez voter;confirmation
Voix recues lors de la primaire;Delphine Bonvin, Catherine Zufferey;Blaise Crettol, Jonathan Djehiche, Jean Iwanowski, Michel Minnig, François Parvex;4b50b81c-0fd3-4106-9fe0-c4e512ca8491
Tirage au sort;Delphine Bonvin;Jean Iwanowski;4673f792-7249-4a2a-832f-5902c7862db1
ordre alphabetique;Céline Ramsauer, Catherine Zufferey;Blaise Crettol, François Parvex;b43ce205-480b-4855-8b2b-32d321bd5756
Tirage au sort;Delphine Bonvin, Coralie Caloz, Melissa Cavallo, Marisa Celas, Céline Ramsauer, Elisabete Rey, Christiane Rielle, Camille Steger-Pellerin;Blaise Crettol, Jonathan Djehiche, Jean Iwanowski, Adrian Kaeser, Alexandre Loretan, Michel Minnig, Jean-Charles Rey, Jaky Vilettaz;3a1b6d8f-66c3-43b6-abbc-f1485fd057ba
ordre alphabetique;Melissa Cavallo, Marisa Celas, Elisabete Rey, Jacqueline Wyder Besson, Catherine Zufferey;Alexandre Loretan, Michel Minnig, Jean-Charles Rey, Jaky Vilettaz;b20c26a9-fd63-4f7f-91c3-4f529ccf30ec
ordre alphabetique;Céline Ramsauer;;82db0777-98a1-48b1-b6f0-bfdd3e4a022d
ordre alphabetique;Melissa Cavallo, Céline Ramsauer;Blaise Crettol, Thierry Crettol, Michel Rey;27aca958-6cc5-4f2f-b65a-0ff94ff170e2
Tirage au sort;Céline Ramsauer;;93b29881-b0f9-44b1-b3c7-98f800c1dc05
Je Mabstiens de repondre a cette question;;Jean Iwanowski;864d8b22-fd04-47eb-89ab-34610fb06cbf
Tirage au sort;Delphine Bonvin, Coralie Caloz, Melissa Cavallo, Marisa Celas, Céline Ramsauer, Elisabete Rey, Jacqueline Wyder Besson, Catherine Zufferey;Blaise Crettol, Thierry Crettol, Jonathan Djehiche, Jean Iwanowski, Alexandre Loretan, Michel Minnig, François Parvex, Jean-Charles Rey, Michel Rey;33b5a1b5-b47f-4d76-8ab0-4b66ca39bf1a
Voix recues lors de la primaire;;Blaise Crettol;31e7908d-1b56-40a1-86bc-c0f6cda946e9
Tirage au sort;Delphine Bonvin, Coralie Caloz, Céline Ramsauer, Catherine Zufferey;Thierry Crettol, François Parvex, Jean-Charles Rey, Michel Rey;6f9e98be-8613-46d9-823d-110d3892aed3
Voix recues lors de la primaire;Delphine Bonvin, Coralie Caloz, Elisabete Rey, Catherine Zufferey;Blaise Crettol, Alexandre Loretan, Jean-Charles Rey, Michel Rey;66daa47b-8037-435d-b29a-a20c58e5fc3f
Tirage au sort;Marisa Celas, Céline Ramsauer;Blaise Crettol, Jonathan Djehiche, François Parvex;d45a99bd-1f9a-4d6b-8c25-cf82f547e6f4
ordre alphabetique;Catherine Zufferey;Blaise Crettol;37888f77-8d14-406e-ab1b-ae2944fa6352
Voix recues lors de la primaire;Céline Ramsauer;Jonathan Djehiche;a8d07386-278f-4efc-8de2-3232b7796ca4
ordre alphabetique;Céline Ramsauer;Jean-Charles Rey;ffe2d50a-bc79-498f-a549-09e7279ef4c6
Voix recues lors de la primaire;Delphine Bonvin, Coralie Caloz, Céline Ramsauer, Jacqueline Wyder Besson, Catherine Zufferey;Blaise Crettol, Alexandre Loretan, Michel Minnig, François Parvex, Jean-Charles Rey, Jaky Vilettaz;63aa3c42-c5ea-4795-b88f-2871981ce491
Tirage au sort;Delphine Bonvin, Coralie Caloz, Melissa Cavallo, Céline Ramsauer, Camille Steger-Pellerin, Jacqueline Wyder Besson;Blaise Crettol, Jonathan Djehiche, Jean Iwanowski, Jean-Charles Rey, Michel Rey;4c6d8919-9ffc-4ed1-ae1a-387656a540fd
ordre alphabetique;Melissa Cavallo, Christiane Rielle;Thierry Crettol, Jonathan Djehiche, Jean Iwanowski, Alexandre Loretan, François Parvex, Jean-Charles Rey, Michel Rey;60aa180a-456a-4779-ada9-23e9c15997c7
Je Mabstiens de repondre a cette question;Delphine Bonvin, Coralie Caloz, Melissa Cavallo, Marisa Celas, Céline Ramsauer, Elisabete Rey, Camille Steger-Pellerin, Catherine Zufferey;Blaise Crettol, Thierry Crettol, Jonathan Djehiche, Jean Iwanowski, Alexandre Loretan, Michel Minnig, François Parvex, Jean-Charles Rey, Jaky Vilettaz;b7a5662b-383a-4a17-b3d7-ae15dd269785
