Comment doit être déterminé l'ordre sur les listes APPEL CITOYEN ?;Choisissez les candidates (femmes) pour qui vous voulez voter;Choisissez les candidats (hommes) pour qui vous voulez voter;confirmation
Voix recues lors de la primaire;;Jean Zermatten;3afc7bbc-832e-4bb5-9d9a-d44e17138929
ordre alphabetique;Bénédicte Balet, Laura Balma, Hélène Bourgeois, Karine Contat, Myriam Mechta, Bernadette Morand-Aymon, Maryline Morard, Danielle Moulin, Emilie Praz;Jean Bonnard , François Dewolff, François Hochreutiner, Olivier Marcoz, François Marty, Erwan Pennarun, Philippe Schifferle, Jean-Paul Schroeter, Jean Zermatten;fc912bb7-8b15-40cd-b0a0-1484065ea35f
Voix recues lors de la primaire;Bénédicte Balet, Laura Balma, Karine Contat, Mélanie De Meo, Marie du Pontavice, Bernadette Morand-Aymon, Eve-Lyne Petoud, Emilie Praz, Marie Zimmermann;Alexandre Ferchaud, Vincent Luyet, Denis Mabillard, Olivier Marcoz, François Marty, Erwan Pennarun, Bernard Reist, Yann-Philippe Roh, Jean Zermatten;a139b449-d7a7-4f3d-b822-6dfcf88ca447
Voix recues lors de la primaire;Laura Balma, Sedina Delic Tanovic, Myriam Mechta, Bernadette Morand-Aymon, Maryline Morard;Jean Bonnard , Jean-Yves Riand , Jean-Marc Salamolard, Emmanuel Théler, Jean Zermatten;78b08821-0e57-4196-9798-50a47b8f3c35
Voix recues lors de la primaire;Marie-Claude Amacker, Bénédicte Balet, Denyse Betchov, Marie du Pontavice, Bernadette Morand-Aymon, Emilie Praz, Marie Zimmermann;Jean Bonnard , Gillian Bruchez, François Marty, Bernard Reist, Jean-Yves Riand , Jean-Paul Schroeter, Jean Zermatten;81da7641-7eb4-4ebc-97d4-a633bc56ea8d
ordre alphabetique;Martine Beuret, Hélène Bourgeois, Marie du Pontavice;Bernard Reist, Jean-Yves Riand , Yann-Philippe Roh;c2e2a3ff-ee76-4d39-a0f1-2b169ec07629
Voix recues lors de la primaire;Emilie Praz;Jean-Marc Salamolard, Jean Zermatten;5ee0e66e-6baf-4e4d-8630-b7a6a272b7b7
Tirage au sort;Denyse Betchov, Hélène Bourgeois, Mélanie De Meo, Myriam Mechta, Bernadette Morand-Aymon, Maryline Morard, Eve-Lyne Petoud, Emilie Praz;Vincent Luyet, Olivier Marcoz, Jean-Yves Riand , Yann-Philippe Roh, Jean Zermatten;82863520-779b-4d99-9d36-639897904bf5
Tirage au sort;Laura Balma, Mélanie De Meo, Bernadette Morand-Aymon, Maryline Morard, Eve-Lyne Petoud, Marie Zimmermann;Jean-René Beytrison, Samuel Carruzzo, François Dewolff, Denis Mabillard, Olivier Marcoz, Erwan Pennarun, Roland Puippe, Jean-Yves Riand , Jean Zermatten;297a20a4-d477-433f-b106-c92c6f49dd9b
Voix recues lors de la primaire;Hélène Bourgeois;Emmanuel Théler;5a8ad363-7b6c-4368-804c-a56119325b32
