District;Full name of candidate;F;H;18-30;31-65;65+;Commune;#votes;Committee 1
Sion;Marie-Claude Amacker;1;;;1;;Sion;70;
Sion;Bénédicte Balet;1;;;1;;Grimisuat;117;1
Sion;Laura Balma;1;;1;;;Sion;101;1
Sion;Denyse Betchov;1;;;;1;Sion;86;1
Sion;Martine Beuret;1;;;1;;Sion;30;
Sion;Jean-René Beytrison;;1;;1;;Sion;29;
Sion;Jean Bonnard;;1;;;1;Sion;83;1
Sion;Hélène Bourgeois;1;;;1;;Sion;65;
Sion;Gillian Bruchez;;1;1;;;Sion;61;1
Sion;Samuel Carruzzo;;1;1;;;Sion;56;1
Sion;Karine Contat;1;;;1;;Grimisuat;81;1
Sion;Mélanie De Meo;1;;;1;;Sion;62;
Sion;Sedina Delic Tanovic;1;;1;;;Sion;59;
Sion;François Dewolff;;1;;1;;Sion;33;
Sion;Marie du Pontavice;1;;;1;;Arbaz;87;1
Sion;Alexandre Ferchaud;;1;1;;;Veysonnaz;81;1
Sion;François Hochreutiner;;1;;;1;Sion;31;
Sion;Romain Lapaire;;1;;1;;Sion;32;
Sion;Vincent Luyet;;1;;1;;Sion;87;1
Sion;Denis Mabillard;;1;1;;;Sion;54;
Sion;Olivier Marcoz;;1;;1;;Sion;53;
Sion;François Marty;;1;;1;;Sion;44;
Sion;Myriam Mechta;1;;;1;;Sion;45;
Sion;Joseph Métrailler;;1;;;1;Sion;35;
Sion;Bernadette Morand-Aymon;1;;;;1;Sion;112;1
Sion;Maryline Morard;1;;;1;;Sion;78;1
Sion;Danielle Moulin;1;;;;1;Sion;53;
Sion;Erwan Pennarun;;1;;1;;Savièse;49;
Sion;Eve-Lyne Petoud;1;;;1;;Sion;47;
Sion;Emilie Praz;1;;;1;;Sion;140;1
Sion;Roland Puippe;;1;;;1;Sion;47;
Sion;Bernard Reist;;1;;;1;Sion;69;1
Sion;Jean-Yves Riand;;1;;1;;Sion;69;1
Sion;Yann-Philippe Roh;;1;;1;;Sion;39;
Sion;Jean-Marc Salamolard;;1;;;1;Grimisuat;62;
Sion;Philippe Schifferle;;1;;1;;Sion;28;
Sion;Jean-Paul Schroeter;;1;;;1;Sion;54;
Sion;Emmanuel Théler;;1;;1;;Sion;83;1
Sion;Jean Zermatten;;1;;;1;Savièse;212;1
Sion;Marie Zimmermann;1;;;1;;Sion;105;1
