Comment doit être déterminé l'ordre sur les listes APPEL CITOYEN ?;Choisissez les candidates (femmes) pour qui vous voulez voter;Choisissez les candidats (hommes) pour qui vous voulez voter;confirmation
Tirage au sort;Martine Rouiller;Olivier Udriot;54305828-e940-41ee-8fcc-f0d65f245077
Je Mabstiens de repondre a cette question;Emilie Dupuis;Olivier Udriot;9160d6b6-23f5-4043-a0e9-df68466d1c7a
ordre alphabetique;Alexia Imhof Coutaz, Natanaëlle Perrion, Améli Pistorius;Quentin Chevalley;9fef7f5a-780b-43c4-9f5d-43388e1de15a
Voix recues lors de la primaire;Emilie Dupuis, Alexia Imhof Coutaz;;e04d06cc-7597-4097-94be-ceea3f3d13a8
Voix recues lors de la primaire;Martine Rouiller;Olivier Udriot;0a0e424f-07f9-4555-9960-214d98e910e2
Voix recues lors de la primaire;Natanaëlle Perrion, Améli Pistorius, Martine Rouiller;Quentin Chevalley, Olivier Udriot;d48ace58-a02d-40c9-9b96-337c475314e0
Tirage au sort;Emilie Dupuis, Natanaëlle Perrion, Martine Rouiller;Quentin Chevalley, Olivier Udriot;d6979d00-0e46-4dd1-969e-f6ac3235f7e2
Tirage au sort;Natanaëlle Perrion, Martine Rouiller, Jenny Voeffray;Quentin Chevalley, Olivier Udriot;00b6c504-9a6c-435e-b555-ae4daa3a91fb
Voix recues lors de la primaire;Martine Rouiller;Olivier Udriot;f3f3625f-5d11-4c29-93d8-c7bb6b13608c
Voix recues lors de la primaire;Emilie Dupuis;Olivier Udriot;ef14fbb5-85b3-4993-bd58-edabea86d2ba
Tirage au sort;Natanaëlle Perrion, Martine Rouiller, Jenny Voeffray;Quentin Chevalley, Olivier Udriot;f3f59bea-5a50-4576-99fe-e443cd82184e
ordre alphabetique;Emilie Dupuis, Martine Rouiller, Jenny Voeffray;;f56a586d-22ee-4982-9167-3873d334950d
ordre alphabetique;Natanaëlle Perrion, Jenny Voeffray;Quentin Chevalley, Olivier Udriot;db0261c5-15b7-4f1f-9c96-477e6ec0df02
ordre alphabetique;Alexia Imhof Coutaz, Améli Pistorius;Olivier Udriot;33729d2a-66be-49e9-b25e-889896bb8fdd
ordre alphabetique;Martine Rouiller;;8babd988-68a6-4d04-bbfe-3651364fe1cb
Voix recues lors de la primaire;Natanaëlle Perrion, Améli Pistorius;Olivier Udriot;d06b1996-bdbf-4a18-a21a-a87e13ab71db
Je Mabstiens de repondre a cette question;Martine Rouiller;;519a3c4d-982e-4fe2-9307-3467e2b04daa
Voix recues lors de la primaire;Natanaëlle Perrion;Quentin Chevalley;b4e9f03f-8285-479d-832e-ef24c3eb27c7
Tirage au sort;Emilie Dupuis;;00d26bdc-e6d7-4d26-b072-3d064d222b25
